set_key	rate_type	is_retention	property	tier	product	product_fee	initial_term	full_term	rate	max_ltv	revert_index	revert_margin	min_loan	max_loan	max_rolled_months	max_defer_int	min_icr	is_tracker	max_top_slicing	admin_fee	erc_1	erc_2	erc_3	erc_4	erc_5	status	floor_rate	proc_fee
RATES_CORE_RETENTION_75	Core	Yes	Residential	2	2yr Tracker	2.50%	24	120	3.24%	75%	MVR	0.4	£150,000	£3,000,000	9	2	130%	Yes	20	199	3	2.5				Active	5.5	0.50%
RATES_CORE_RETENTION_75	Core	Yes	Residential	2	2yr Tracker	1.50%	24	120	3.74%	75%	MVR	0.4	£150,000	£3,000,000	9	2	130%	Yes	20	199	3	2.5				Active	5.5	0.50%
RATES_CORE_RETENTION_75	Core	Yes	Residential	1	2yr Fix	5.50%	24	120	5.29%	75%	MVR		£150,000	£3,000,000	9	1.25	125%	No	20	199	4	3				Active	5.5	0.50%
RATES_CORE_RETENTION_75	Core	Yes	Residential	2	3yr Fix	5.50%	36	120	6.39%	75%	MVR	0.4	£150,000	£3,000,000	9	1.25	125%	No	20	199	4	3	2			Active	5.5	0.50%
RATES_CORE_RETENTION_75	Core	Yes	Residential	2	3yr Fix	3.50%	36	120	7.09%	75%	MVR	0.4	£150,000	£3,000,000	9	1.25	125%	No	20	199	4	3	2			Active	5.5	0.50%
RATES_SPEC	Specialist	No	Semi-Commercial	1	2yr Tracker	2%	24	120	4.99%	70%	MVR	0.3	£150,000	£2,000,000	6	1.5	130%	Yes	20	250	3	2.5				Active		1%
RATES_SPEC	Specialist	No	Semi-Commercial	2	2yr Tracker	2%	24	120	5.29%	70%	MVR	1.5	£150,000	£2,000,000	6	1.5	130%	Yes	20	250	3	2.5				Active		1%
RATES_SPEC	Specialist	No	Residential	1	3yr Fix	6%	36	120	6.39%	75%	MVR		£150,000	£3,000,000	9	1.25	125%	No	20	199	4	3	2			Active		1%
RATES_SPEC	Specialist	No	Commercial	2	2yr Fix	4%	24	120	7.69%	70%	MVR	1.5	£150,000	£2,000,000	6	1.25	125%	No	20	250	4	3				Active		1%
RATES_SPEC	Specialist	No	Residential	1	5yr Fix	4%	36	120	3%	75%	MVR		£150,000	£3,000,000	9	1.25	125%	No	20	199	4	3	2			Active		1%
